58010,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Manusak,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Manusak/85362
58011,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Merdeka,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Merdeka/85362
58012,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Naibonat,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Naibonat/85362
58013,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Nunkurus,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Nunkurus/85362
58014,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Oefafi,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Oefafi/85362
58015,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Oelatimo,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Oelatimo/85362
58016,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,"Oesao (II, III)",85362,"Nusa Tenggara Timur/Kupang/Kupang Timur/Oesao (II, III)/85362"
58017,Nusa Tenggara Timur,Kabupaten,Kupang,Kupang Timur,Pukdale,85362,Nusa Tenggara Timur/Kupang/Kupang Timur/Pukdale/85362

57853
